State,County,Crash_Date,Crash_Time,Day_of_Week,Location_Type,Weather_Conditions,Road_Condition,Number_of_Vehicles,Vehicle_Type_1,Vehicle_Type_2,EV_Indicator_1,EV_Indicator_2,Driver_Age_1,Driver_Age_2,Driver_Gender_1,Driver_Gender_2,Crash_Severity,Crash_Cause,Fatalities,Injuries,Alcohol_Involvement,Speeding,Police_Report_Filed,Vehicle_Make_1,Vehicle_Make_2,Year_of_Vehicle_1,Year_of_Vehicle_2,Crash_Year
AK,County 16,9/18/20,21:31,Monday,Urban,Fog,Construction Zone,4,Truck,Sedan,No,No,32,22.0,Female,Male,Minor Injury,Fatigue,0,0,Yes,No,Yes,Tesla,Nissan,2020,2001.0,2020
ID,County 66,5/7/21,11:45,Thursday,Urban,Clear,Dry,1,Motorcycle,,No,,80,,Female,,Severe Injury,DUI,0,10,No,Yes,No,Chevrolet,,2011,,2021
PA,County 80,8/22/22,15:17,Thursday,Rural,Fog,Construction Zone,1,Truck,,No,,33,,Male,,Severe Injury,Mechanical Failure,0,3,Yes,Yes,Yes,Chevrolet,,2018,,2022
MD,County 51,8/11/23,7:46,Saturday,Urban,Windy,Wet,5,Motorcycle,Sedan,No,No,48,36.0,Male,Male,Fatal,Fatigue,3,4,No,No,Yes,Honda,Nissan,2011,2006.0,2023
KS,County 2,11/25/20,8:13,Tuesday,Highway,Rain,Construction Zone,3,EV,Sedan,Yes,No,75,56.0,Female,Female,Minor Injury,Distracted Driving,0,0,Yes,Yes,Yes,Kia,Toyota,2017,2016.0,2020
WV,County 100,7/12/23,15:41,Sunday,Rural,Clear,Icy,1,SUV,,No,,51,,Male,,Minor Injury,DUI,0,0,No,No,No,Chevrolet,,2022,,2023
AK,County 58,8/31/22,20:03,Friday,Residential,Clear,Icy,3,EV,EV,Yes,Yes,54,45.0,Male,Female,Fatal,Speeding,4,6,Yes,Yes,No,Tesla,BMW,2009,2010.0,2022
NC,County 25,11/24/21,18:40,Monday,Residential,Windy,Construction Zone,3,Sedan,SUV,Yes,No,25,31.0,Male,Male,Severe Injury,Weather,0,2,Yes,No,No,Chevrolet,Honda,2000,2001.0,2021
AR,County 86,2/25/22,1:37,Wednesday,Rural,Fog,Wet,2,Truck,SUV,No,No,16,50.0,Male,Male,No Injury,DUI,0,0,No,Yes,No,Audi,BMW,2005,2015.0,2022
MO,County 61,8/24/22,20:19,Tuesday,Residential,Windy,Icy,5,Motorcycle,Sedan,No,No,48,75.0,Male,Male,Minor Injury,Weather,0,0,No,Yes,Yes,Honda,Tesla,2009,2001.0,2022
VT,County 10,4/14/21,9:23,Tuesday,Urban,Snow,Gravel,2,SUV,Motorcycle,Yes,No,74,71.0,Female,Female,No Injury,Mechanical Failure,0,0,No,Yes,No,Chevrolet,Nissan,2003,2001.0,2021
NH,County 12,10/9/23,17:52,Wednesday,Urban,Windy,Icy,2,Truck,Motorcycle,No,No,19,38.0,Female,Female,No Injury,Fatigue,0,0,Yes,No,No,Nissan,Ford,2003,2005.0,2023
NC,County 16,9/21/23,13:59,Friday,Highway,Fog,Wet,2,Truck,SUV,No,No,78,71.0,Male,Female,Severe Injury,DUI,0,6,No,No,Yes,BMW,Hyundai,2022,2007.0,2023
KY,County 59,10/11/20,2:39,Sunday,Rural,Clear,Gravel,3,SUV,Motorcycle,No,No,23,46.0,Male,Female,No Injury,Distracted Driving,0,0,Yes,No,No,Nissan,BMW,2001,2001.0,2020
MO,County 33,5/22/22,10:07,Wednesday,Highway,Clear,Wet,2,Truck,EV,No,Yes,56,29.0,Female,Male,Minor Injury,Distracted Driving,0,0,Yes,No,Yes,Ford,Toyota,2015,2021.0,2022
WA,County 2,11/6/20,2:36,Tuesday,Urban,Rain,Icy,3,Motorcycle,SUV,No,No,28,64.0,Male,Female,Minor Injury,Speeding,0,0,Yes,Yes,No,Kia,Nissan,2016,2015.0,2020
MA,County 49,6/7/21,10:26,Thursday,Rural,Windy,Gravel,5,Sedan,Sedan,Yes,No,54,16.0,Female,Female,Minor Injury,DUI,0,0,Yes,Yes,Yes,BMW,Ford,2017,2017.0,2021
KS,County 51,10/2/20,5:37,Friday,Residential,Fog,Gravel,4,EV,Truck,Yes,No,31,35.0,Female,Male,Severe Injury,DUI,0,9,No,Yes,Yes,Kia,Audi,2003,2004.0,2020
UT,County 12,2/24/22,21:19,Tuesday,Urban,Windy,Dry,1,Truck,,Yes,,51,,Female,,Severe Injury,Weather,0,4,Yes,Yes,Yes,BMW,,2019,,2022
IA,County 10,1/19/22,2:18,Saturday,Urban,Fog,Icy,5,EV,Truck,Yes,No,25,71.0,Male,Female,Minor Injury,Distracted Driving,0,0,No,Yes,No,Kia,Audi,2020,2008.0,2022
NH,County 65,12/27/20,4:09,Monday,Urban,Clear,Wet,4,Sedan,SUV,No,No,53,54.0,Male,Female,No Injury,Speeding,0,0,Yes,No,No,Kia,Audi,2008,2022.0,2020
CA,County 44,3/3/22,11:17,Saturday,Urban,Rain,Gravel,3,SUV,EV,No,Yes,36,61.0,Female,Male,No Injury,DUI,0,0,Yes,No,No,Chevrolet,Ford,2012,2003.0,2022
VA,County 74,2/19/21,23:58,Thursday,Rural,Snow,Icy,3,Motorcycle,Motorcycle,No,No,29,36.0,Male,Female,Fatal,Weather,5,0,No,No,No,Kia,Audi,2001,2004.0,2021
MT,County 60,7/24/23,5:04,Sunday,Highway,Fog,Dry,5,Sedan,Motorcycle,No,No,26,22.0,Female,Female,No Injury,Weather,0,0,Yes,No,Yes,Audi,Honda,2022,2000.0,2023
NY,County 85,1/10/22,23:24,Friday,Residential,Rain,Gravel,3,Sedan,EV,No,Yes,58,31.0,Female,Male,Severe Injury,Fatigue,0,8,Yes,Yes,No,Kia,Audi,2006,2014.0,2022
OK,County 24,9/28/23,4:43,Thursday,Residential,Fog,Icy,4,Motorcycle,Motorcycle,No,No,74,36.0,Male,Male,Minor Injury,DUI,0,0,Yes,No,Yes,Chevrolet,Kia,2009,2009.0,2023
CT,County 7,6/29/22,0:17,Monday,Highway,Clear,Gravel,4,Sedan,EV,Yes,Yes,16,25.0,Male,Female,Minor Injury,Speeding,0,0,No,No,Yes,Ford,Kia,2015,2002.0,2022
IA,County 7,12/21/20,22:46,Saturday,Rural,Rain,Icy,5,Sedan,Motorcycle,No,No,72,79.0,Female,Female,Minor Injury,Speeding,0,0,Yes,Yes,Yes,Toyota,Honda,2014,2021.0,2020
OK,County 49,6/12/22,14:25,Saturday,Rural,Rain,Construction Zone,3,Truck,Sedan,No,No,68,32.0,Male,Male,Minor Injury,Speeding,0,0,No,Yes,No,Ford,Honda,2010,2017.0,2022
AK,County 21,9/22/22,17:16,Friday,Rural,Clear,Icy,2,Sedan,Motorcycle,No,No,65,52.0,Male,Female,Severe Injury,Speeding,0,5,No,Yes,Yes,Ford,Kia,2020,2011.0,2022
NV,County 19,12/16/22,6:31,Wednesday,Urban,Clear,Gravel,3,Sedan,Motorcycle,Yes,No,80,18.0,Female,Female,Fatal,DUI,2,2,No,Yes,Yes,Chevrolet,Hyundai,2022,2012.0,2022
PA,County 61,4/19/20,0:07,Thursday,Urban,Fog,Construction Zone,3,Truck,EV,No,Yes,68,74.0,Male,Male,No Injury,Mechanical Failure,0,0,Yes,No,Yes,Honda,Chevrolet,2019,2015.0,2020
MT,County 22,5/5/21,9:28,Sunday,Rural,Clear,Dry,1,SUV,,No,,47,,Female,,Severe Injury,Distracted Driving,0,2,Yes,No,Yes,Ford,,2019,,2021
NM,County 9,2/13/22,14:20,Friday,Urban,Rain,Gravel,5,Motorcycle,EV,No,Yes,56,65.0,Male,Female,Fatal,Weather,3,3,Yes,Yes,No,Kia,Hyundai,2009,2006.0,2022
IL,County 20,1/14/23,12:37,Friday,Rural,Windy,Icy,3,Sedan,Sedan,Yes,No,36,74.0,Male,Male,Minor Injury,Distracted Driving,0,0,No,Yes,Yes,Chevrolet,BMW,2003,2008.0,2023
IL,County 42,8/16/21,10:29,Monday,Highway,Rain,Construction Zone,5,Truck,Truck,Yes,No,80,34.0,Male,Male,Fatal,Mechanical Failure,1,0,No,Yes,Yes,Hyundai,Toyota,2021,2010.0,2021
OR,County 19,12/7/20,20:52,Sunday,Rural,Clear,Dry,2,Truck,Truck,No,No,60,59.0,Male,Male,Severe Injury,Fatigue,0,0,Yes,No,No,Tesla,Tesla,2016,2002.0,2020
IN,County 67,5/6/23,17:11,Sunday,Rural,Rain,Wet,4,Truck,SUV,No,No,43,54.0,Male,Male,Severe Injury,Fatigue,0,2,Yes,No,Yes,Kia,Chevrolet,2012,2020.0,2023
MA,County 80,11/5/22,1:40,Monday,Urban,Rain,Gravel,1,Truck,,Yes,,25,,Female,,Minor Injury,Mechanical Failure,0,0,No,Yes,No,Tesla,,2016,,2022
UT,County 71,7/7/23,10:31,Tuesday,Rural,Windy,Icy,5,EV,Truck,Yes,No,51,59.0,Male,Male,Severe Injury,Fatigue,0,10,Yes,No,Yes,Hyundai,Toyota,2012,2009.0,2023
VT,County 6,2/28/23,12:00,Tuesday,Urban,Clear,Construction Zone,5,EV,Sedan,Yes,No,17,17.0,Female,Male,Minor Injury,Distracted Driving,0,0,Yes,No,No,Ford,Nissan,2017,2005.0,2023
GA,County 43,10/16/23,11:22,Thursday,Rural,Snow,Icy,1,Motorcycle,,No,,58,,Female,,Minor Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Audi,,2001,,2023
GA,County 4,12/18/20,22:17,Saturday,Rural,Clear,Dry,5,Sedan,Motorcycle,No,No,23,19.0,Female,Female,Fatal,Distracted Driving,4,6,Yes,No,No,Tesla,Nissan,2002,2018.0,2020
TX,County 41,1/19/20,9:58,Thursday,Rural,Fog,Gravel,3,SUV,Truck,No,No,55,72.0,Male,Female,Severe Injury,Weather,0,1,Yes,No,Yes,Audi,Honda,2019,2014.0,2020
RI,County 64,10/23/22,22:48,Monday,Residential,Snow,Gravel,2,Motorcycle,SUV,No,No,27,31.0,Female,Male,No Injury,Distracted Driving,0,0,No,No,No,BMW,Audi,2007,2020.0,2022
MS,County 97,3/11/22,3:43,Tuesday,Highway,Windy,Dry,1,SUV,,Yes,,79,,Male,,Minor Injury,Fatigue,0,0,Yes,Yes,No,Ford,,2011,,2022
AZ,County 76,1/23/20,18:59,Friday,Residential,Snow,Construction Zone,2,SUV,Motorcycle,No,No,67,29.0,Male,Female,Minor Injury,Speeding,0,0,No,No,No,Chevrolet,Ford,2001,2005.0,2020
KY,County 44,12/27/21,12:16,Friday,Residential,Fog,Gravel,2,SUV,EV,No,Yes,70,67.0,Male,Female,Minor Injury,Distracted Driving,0,0,Yes,Yes,No,Toyota,Tesla,2005,2017.0,2021
SD,County 84,1/30/22,10:45,Friday,Rural,Windy,Gravel,1,EV,,Yes,,33,,Female,,No Injury,DUI,0,0,Yes,Yes,No,Kia,,2018,,2022
ND,County 80,1/10/23,19:34,Sunday,Rural,Rain,Icy,2,Motorcycle,EV,Yes,Yes,17,48.0,Male,Male,Severe Injury,Weather,0,7,No,No,No,Ford,Hyundai,2020,2022.0,2023
OH,County 29,8/16/21,1:08,Tuesday,Rural,Fog,Dry,4,Motorcycle,SUV,No,No,65,47.0,Female,Male,No Injury,Distracted Driving,0,0,Yes,Yes,No,Nissan,Honda,2015,2007.0,2021
GA,County 96,8/19/21,5:10,Friday,Highway,Fog,Gravel,5,Truck,EV,Yes,Yes,29,33.0,Male,Female,Fatal,DUI,5,9,No,Yes,No,Tesla,Nissan,2002,2002.0,2021
ME,County 30,3/24/20,0:02,Wednesday,Urban,Fog,Construction Zone,2,Truck,SUV,No,No,17,30.0,Male,Male,No Injury,Mechanical Failure,0,0,No,No,No,Ford,Hyundai,2013,2021.0,2020
TX,County 24,3/31/20,23:44,Sunday,Rural,Snow,Dry,3,Sedan,Sedan,No,No,54,35.0,Male,Male,No Injury,Fatigue,0,0,No,Yes,No,Audi,Ford,2000,2019.0,2020
MS,County 79,2/16/22,11:49,Monday,Rural,Rain,Gravel,5,SUV,Motorcycle,No,No,43,77.0,Female,Male,Fatal,Mechanical Failure,4,3,Yes,No,Yes,Chevrolet,Kia,2008,2013.0,2022
DE,County 80,12/15/21,4:25,Monday,Rural,Rain,Icy,2,Sedan,EV,Yes,Yes,46,72.0,Male,Female,No Injury,DUI,0,0,No,Yes,No,Tesla,Chevrolet,2023,2023.0,2021
FL,County 21,8/10/23,1:47,Wednesday,Urban,Clear,Gravel,1,EV,,Yes,,55,,Female,,Fatal,Distracted Driving,4,9,No,Yes,No,Toyota,,2013,,2023
ID,County 77,12/15/20,16:59,Sunday,Residential,Clear,Dry,3,SUV,Motorcycle,No,No,22,67.0,Male,Male,Minor Injury,Mechanical Failure,0,0,Yes,No,No,Chevrolet,Honda,2003,2006.0,2020
IL,County 20,9/25/22,15:03,Saturday,Highway,Fog,Gravel,2,Motorcycle,Motorcycle,No,No,31,49.0,Female,Female,Minor Injury,Fatigue,0,0,Yes,Yes,No,BMW,BMW,2022,2007.0,2022
TX,County 30,5/17/22,20:27,Tuesday,Urban,Windy,Icy,2,Sedan,Motorcycle,Yes,No,70,45.0,Male,Male,Minor Injury,Distracted Driving,0,0,Yes,No,No,Kia,Tesla,2016,2023.0,2022
OR,County 66,2/16/23,1:40,Thursday,Highway,Windy,Gravel,1,Motorcycle,,No,,17,,Female,,Fatal,Fatigue,4,10,Yes,Yes,No,Chevrolet,,2007,,2023
RI,County 30,10/14/22,12:40,Friday,Residential,Fog,Construction Zone,3,Truck,Sedan,No,No,31,70.0,Male,Female,No Injury,Weather,0,0,No,Yes,No,Ford,Kia,2000,2013.0,2022
KS,County 69,7/18/22,22:19,Sunday,Residential,Rain,Gravel,3,Sedan,Truck,No,No,76,63.0,Male,Female,Minor Injury,DUI,0,0,Yes,Yes,Yes,Chevrolet,Ford,2007,2015.0,2022
TX,County 31,4/1/21,20:28,Saturday,Urban,Clear,Icy,4,SUV,SUV,No,No,68,35.0,Female,Female,Fatal,Mechanical Failure,5,2,No,No,No,Ford,Tesla,2012,2008.0,2021
CT,County 73,11/18/20,4:31,Saturday,Urban,Clear,Icy,2,Motorcycle,Motorcycle,No,No,16,53.0,Female,Female,Severe Injury,Fatigue,0,10,No,No,Yes,BMW,Hyundai,2018,2011.0,2020
UT,County 10,10/11/21,18:10,Friday,Highway,Rain,Gravel,5,Sedan,SUV,No,No,22,20.0,Male,Female,Minor Injury,Distracted Driving,0,0,No,Yes,Yes,Honda,Tesla,2009,2007.0,2021
KY,County 82,3/10/20,10:20,Thursday,Urban,Fog,Construction Zone,5,Truck,Truck,Yes,No,37,28.0,Male,Male,Severe Injury,Weather,0,4,Yes,No,No,Honda,Chevrolet,2021,2021.0,2020
AK,County 13,3/13/23,12:44,Friday,Rural,Windy,Dry,5,Sedan,Truck,No,No,35,40.0,Female,Female,Severe Injury,DUI,0,2,Yes,Yes,Yes,Hyundai,Audi,2004,2008.0,2023
DE,County 36,1/21/22,1:26,Sunday,Urban,Fog,Icy,4,EV,Motorcycle,Yes,No,57,42.0,Male,Male,Severe Injury,Weather,0,3,Yes,Yes,Yes,BMW,BMW,2003,2007.0,2022
PA,County 95,2/19/23,5:57,Friday,Residential,Windy,Wet,4,EV,EV,Yes,Yes,63,80.0,Male,Female,Fatal,Weather,1,1,Yes,No,Yes,Ford,Toyota,2011,2000.0,2023
LA,County 55,4/24/20,2:42,Thursday,Residential,Rain,Gravel,4,Motorcycle,Truck,No,No,73,18.0,Male,Female,Severe Injury,Speeding,0,0,Yes,Yes,Yes,Ford,Tesla,2009,2010.0,2020
NC,County 95,1/6/22,11:00,Friday,Highway,Windy,Construction Zone,2,Truck,Motorcycle,Yes,No,32,77.0,Female,Female,Severe Injury,Distracted Driving,0,7,Yes,No,No,Toyota,Chevrolet,2001,2009.0,2022
AL,County 61,2/2/21,11:39,Tuesday,Highway,Clear,Gravel,2,EV,Truck,Yes,No,50,37.0,Female,Male,Severe Injury,Mechanical Failure,0,4,Yes,Yes,Yes,BMW,Chevrolet,2018,2015.0,2021
NC,County 41,1/30/20,13:54,Saturday,Urban,Rain,Dry,5,Sedan,Truck,No,No,29,62.0,Female,Male,Severe Injury,Distracted Driving,0,5,No,Yes,Yes,Kia,Chevrolet,2014,2021.0,2020
TN,County 61,3/31/22,14:32,Thursday,Highway,Clear,Construction Zone,3,Sedan,EV,No,Yes,24,67.0,Male,Female,Severe Injury,Fatigue,0,9,No,Yes,No,Chevrolet,Chevrolet,2020,2018.0,2022
WI,County 62,6/28/22,9:34,Friday,Residential,Snow,Gravel,1,Sedan,,No,,43,,Female,,Minor Injury,Speeding,0,0,Yes,No,Yes,BMW,,2004,,2022
AL,County 22,8/1/20,14:19,Friday,Residential,Clear,Dry,5,SUV,Sedan,No,No,21,48.0,Female,Male,No Injury,Distracted Driving,0,0,No,Yes,No,Tesla,Tesla,2011,2000.0,2020
NC,County 44,11/9/22,9:24,Friday,Highway,Rain,Construction Zone,1,Sedan,,No,,16,,Male,,Minor Injury,DUI,0,0,No,Yes,Yes,Toyota,,2012,,2022
MO,County 92,12/3/23,13:28,Wednesday,Residential,Fog,Construction Zone,3,EV,EV,Yes,Yes,61,46.0,Male,Female,Severe Injury,Fatigue,0,0,No,Yes,Yes,Audi,Toyota,2016,2009.0,2023
AZ,County 41,11/19/20,12:00,Wednesday,Rural,Windy,Dry,4,Sedan,EV,No,Yes,29,48.0,Male,Female,Severe Injury,Speeding,0,2,No,No,Yes,Chevrolet,Tesla,2022,2013.0,2020
KS,County 45,12/18/23,22:39,Monday,Residential,Rain,Icy,5,SUV,Truck,No,No,52,49.0,Male,Female,Fatal,Weather,3,8,No,Yes,Yes,Ford,Audi,2006,2002.0,2023
WV,County 73,7/13/20,11:54,Thursday,Residential,Rain,Construction Zone,2,Truck,EV,No,Yes,47,26.0,Male,Female,Fatal,DUI,5,8,Yes,No,Yes,BMW,Nissan,2001,2009.0,2020
NE,County 12,7/30/23,16:52,Tuesday,Rural,Windy,Gravel,2,Motorcycle,EV,No,Yes,52,45.0,Female,Female,No Injury,Mechanical Failure,0,0,Yes,No,Yes,Kia,Honda,2013,2019.0,2023
CO,County 91,10/17/22,19:57,Monday,Highway,Clear,Icy,4,SUV,Motorcycle,Yes,No,19,78.0,Male,Male,Fatal,Mechanical Failure,1,2,No,Yes,Yes,Chevrolet,Audi,2009,2021.0,2022
NH,County 71,2/9/22,15:03,Tuesday,Rural,Rain,Gravel,3,Motorcycle,Sedan,Yes,No,30,36.0,Female,Female,Fatal,Mechanical Failure,0,5,No,No,Yes,Hyundai,Nissan,2017,2021.0,2022
WY,County 61,1/25/22,6:17,Sunday,Residential,Windy,Gravel,4,Truck,Sedan,Yes,No,28,54.0,Male,Female,Minor Injury,Weather,0,0,Yes,No,Yes,Chevrolet,Audi,2010,2011.0,2022
KS,County 91,7/28/22,18:54,Thursday,Highway,Windy,Construction Zone,5,Truck,EV,No,Yes,16,19.0,Male,Male,Fatal,DUI,5,1,No,No,Yes,Ford,Nissan,2005,2003.0,2022
WI,County 93,10/1/20,8:42,Tuesday,Urban,Clear,Icy,5,Motorcycle,Truck,Yes,No,63,74.0,Male,Female,Minor Injury,Speeding,0,0,Yes,No,Yes,Hyundai,Audi,2001,2006.0,2020
NH,County 38,7/3/20,7:17,Thursday,Rural,Snow,Dry,5,EV,Motorcycle,Yes,No,30,44.0,Male,Female,Minor Injury,Mechanical Failure,0,0,Yes,No,Yes,Ford,Honda,2000,2011.0,2020
IA,County 14,1/4/22,9:42,Thursday,Highway,Rain,Gravel,3,Sedan,SUV,No,No,40,72.0,Female,Male,Minor Injury,Fatigue,0,0,Yes,Yes,No,Nissan,Nissan,2013,2018.0,2022
ND,County 74,7/19/21,5:57,Wednesday,Residential,Rain,Dry,5,Motorcycle,SUV,No,No,32,78.0,Female,Male,Minor Injury,Speeding,0,0,No,Yes,No,Tesla,BMW,2006,2007.0,2021
AK,County 11,1/26/23,16:12,Thursday,Urban,Snow,Dry,3,SUV,Truck,Yes,No,74,45.0,Female,Female,No Injury,Fatigue,0,0,Yes,No,No,Audi,Nissan,2017,2009.0,2023
NY,County 90,5/3/22,2:04,Tuesday,Residential,Windy,Icy,2,SUV,Truck,No,No,56,54.0,Female,Male,Minor Injury,Weather,0,0,Yes,No,Yes,Chevrolet,Honda,2008,2016.0,2022
NY,County 11,9/13/22,13:01,Tuesday,Residential,Windy,Construction Zone,2,Truck,Sedan,No,No,70,50.0,Male,Male,Fatal,Mechanical Failure,5,1,Yes,Yes,No,Nissan,Tesla,2009,2021.0,2022
HI,County 75,7/19/20,8:55,Thursday,Rural,Fog,Wet,1,SUV,,No,,17,,Female,,Minor Injury,Fatigue,0,0,No,Yes,No,Ford,,2018,,2020
MA,County 78,1/1/23,14:36,Thursday,Urban,Windy,Wet,1,Truck,,Yes,,68,,Male,,Fatal,Distracted Driving,4,7,No,No,No,Kia,,2019,,2023
MO,County 5,7/12/23,7:31,Wednesday,Urban,Snow,Wet,1,EV,,Yes,,63,,Female,,No Injury,DUI,0,0,No,Yes,No,BMW,,2009,,2023
CO,County 93,6/14/21,13:37,Friday,Urban,Rain,Gravel,3,EV,Truck,Yes,No,52,48.0,Male,Female,Minor Injury,Weather,0,0,Yes,No,Yes,Ford,Chevrolet,2013,2000.0,2021
ND,County 47,11/8/22,2:15,Saturday,Rural,Rain,Icy,5,SUV,SUV,No,No,32,21.0,Female,Male,Fatal,Weather,0,9,No,No,No,Honda,BMW,2023,2022.0,2022
NC,County 22,12/4/20,3:41,Sunday,Rural,Fog,Dry,1,EV,,Yes,,20,,Male,,Minor Injury,Speeding,0,0,No,Yes,No,Audi,,2023,,2020
AZ,County 99,1/26/21,18:39,Friday,Rural,Rain,Gravel,4,Sedan,SUV,Yes,No,69,76.0,Male,Female,Fatal,Weather,1,2,Yes,No,Yes,Tesla,Toyota,2014,2010.0,2021
WV,County 73,11/11/21,15:47,Saturday,Residential,Snow,Construction Zone,4,Truck,Truck,No,No,58,37.0,Female,Male,Severe Injury,Fatigue,0,7,No,Yes,Yes,Honda,Kia,2000,2004.0,2021
OK,County 19,1/14/23,16:38,Thursday,Urban,Rain,Icy,2,Sedan,Motorcycle,No,No,58,62.0,Male,Male,No Injury,Fatigue,0,0,Yes,Yes,Yes,Kia,Nissan,2012,2015.0,2023
TX,County 40,11/3/20,9:56,Wednesday,Rural,Clear,Wet,3,Motorcycle,EV,No,Yes,62,59.0,Male,Male,Fatal,DUI,0,0,Yes,Yes,Yes,Toyota,Audi,2008,2020.0,2020
TN,County 39,3/10/20,14:30,Saturday,Residential,Rain,Dry,4,Motorcycle,Truck,No,No,30,78.0,Female,Female,Minor Injury,Mechanical Failure,0,0,No,Yes,No,Audi,Chevrolet,2011,2005.0,2020
GA,County 43,10/20/20,23:34,Friday,Urban,Rain,Icy,1,SUV,,No,,43,,Male,,Fatal,Distracted Driving,2,1,No,No,Yes,Ford,,2014,,2020
WI,County 27,7/23/21,12:34,Friday,Urban,Rain,Gravel,5,EV,SUV,Yes,No,37,19.0,Female,Female,Minor Injury,Mechanical Failure,0,0,Yes,Yes,No,BMW,Kia,2020,2002.0,2021
ME,County 73,3/19/21,2:57,Thursday,Highway,Windy,Construction Zone,4,EV,Truck,Yes,No,23,57.0,Male,Female,Minor Injury,Speeding,0,0,Yes,No,No,Ford,Kia,2011,2001.0,2021
CA,County 7,4/15/23,13:20,Monday,Residential,Rain,Icy,4,SUV,EV,No,Yes,43,70.0,Female,Female,No Injury,Distracted Driving,0,0,Yes,No,Yes,Chevrolet,Honda,2021,2015.0,2023
MA,County 69,4/17/21,12:32,Tuesday,Residential,Rain,Dry,3,SUV,Truck,No,No,31,24.0,Male,Male,Fatal,Speeding,2,7,Yes,No,Yes,Hyundai,Audi,2014,2021.0,2021
NE,County 33,12/7/23,23:06,Monday,Residential,Fog,Dry,2,Truck,Truck,No,No,43,61.0,Male,Male,Minor Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Toyota,Ford,2017,2005.0,2023
AK,County 47,7/17/20,13:17,Sunday,Residential,Fog,Icy,2,Sedan,SUV,No,No,76,36.0,Male,Female,Minor Injury,Speeding,0,0,No,No,No,Audi,Tesla,2014,2011.0,2020
OH,County 58,12/5/22,20:28,Sunday,Residential,Windy,Construction Zone,1,SUV,,No,,51,,Male,,Fatal,Distracted Driving,4,10,Yes,No,Yes,Tesla,,2005,,2022
NM,County 42,3/1/20,10:38,Friday,Urban,Rain,Dry,3,SUV,EV,No,Yes,72,37.0,Female,Female,Severe Injury,DUI,0,3,No,No,No,Audi,Ford,2021,2011.0,2020
KY,County 69,6/1/20,12:55,Tuesday,Residential,Clear,Dry,2,Truck,Truck,No,No,48,50.0,Male,Female,Severe Injury,Speeding,0,1,Yes,No,No,BMW,Nissan,2015,2001.0,2020
KS,County 46,3/20/22,7:44,Tuesday,Highway,Rain,Icy,1,Sedan,,No,,74,,Male,,No Injury,Distracted Driving,0,0,Yes,Yes,Yes,Audi,,2010,,2022
AL,County 63,7/22/21,7:14,Monday,Rural,Clear,Wet,4,EV,Sedan,Yes,No,80,31.0,Female,Female,Fatal,DUI,4,7,No,No,No,Kia,Audi,2000,2009.0,2021
MO,County 7,8/26/22,10:01,Saturday,Highway,Windy,Dry,1,Truck,,No,,33,,Male,,Severe Injury,Speeding,0,1,No,Yes,Yes,Kia,,2002,,2022
FL,County 85,12/22/22,23:20,Saturday,Urban,Clear,Dry,1,Motorcycle,,No,,52,,Female,,Minor Injury,Distracted Driving,0,0,No,Yes,Yes,Audi,,2010,,2022
AL,County 94,1/16/20,19:27,Sunday,Highway,Fog,Icy,1,EV,,Yes,,66,,Male,,No Injury,Weather,0,0,No,No,No,Ford,,2008,,2020
MT,County 58,11/20/21,12:50,Friday,Highway,Clear,Construction Zone,4,Sedan,Sedan,No,No,71,37.0,Male,Female,Severe Injury,Mechanical Failure,0,2,Yes,No,Yes,Nissan,Kia,2002,2018.0,2021
MO,County 55,3/15/20,17:12,Friday,Residential,Fog,Wet,5,Truck,Motorcycle,No,No,72,20.0,Male,Male,No Injury,Mechanical Failure,0,0,No,Yes,Yes,BMW,Ford,2010,2015.0,2020
WA,County 21,5/7/22,11:41,Monday,Urban,Fog,Icy,5,Motorcycle,Truck,No,No,22,20.0,Male,Female,Minor Injury,Distracted Driving,0,0,Yes,Yes,No,Chevrolet,Tesla,2017,2014.0,2022
UT,County 50,2/12/20,5:37,Wednesday,Highway,Fog,Icy,4,Motorcycle,Sedan,No,No,39,44.0,Male,Female,Fatal,Mechanical Failure,2,5,No,No,Yes,Nissan,Toyota,2013,2004.0,2020
MT,County 44,12/22/22,16:10,Friday,Urban,Clear,Icy,3,EV,EV,Yes,Yes,80,38.0,Male,Female,No Injury,DUI,0,0,No,Yes,No,Toyota,Tesla,2019,2020.0,2022
NM,County 2,11/15/23,5:17,Wednesday,Urban,Snow,Gravel,2,EV,EV,Yes,Yes,69,75.0,Male,Male,No Injury,Fatigue,0,0,No,Yes,Yes,BMW,Ford,2014,2013.0,2023
AL,County 35,5/13/22,0:03,Sunday,Rural,Snow,Icy,4,Motorcycle,Motorcycle,Yes,No,62,26.0,Male,Male,Fatal,Distracted Driving,0,3,Yes,No,Yes,Toyota,Kia,2012,2019.0,2022
OK,County 5,12/30/20,0:56,Saturday,Urban,Fog,Construction Zone,5,Truck,Motorcycle,No,No,60,18.0,Female,Male,Severe Injury,Fatigue,0,1,No,No,No,Honda,Tesla,2011,2023.0,2020
VT,County 77,3/19/21,0:26,Thursday,Residential,Windy,Icy,3,Motorcycle,Motorcycle,No,No,23,36.0,Male,Female,Severe Injury,Fatigue,0,9,No,No,Yes,Audi,Chevrolet,2008,2022.0,2021
